,S_No,State_Name,District_Name,Season,Irrigation,pH,Moisture,Soil_Temp,Climate,Crop_Name,Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours
1443,1443,Punjab,JALANDHAR,Rabi       ,medium,6,80,25,Composite,Wheat,169000,773000,0.19,1,1,0.46,1,1,183.6
1451,1451,Punjab,JALANDHAR,Rabi       ,medium,6,80,25,Composite,Wheat,169000,837000,0.19,1,1,0.46,1,1,183.6
1460,1460,Punjab,JALANDHAR,Rabi       ,medium,6,80,25,Composite,Wheat,167000,685000,0.19,1,1,0.46,1,1,183.6
1467,1467,Punjab,KAPURTHALA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,102000,348000,0.19,1,1,0.46,1,1,183.6
1477,1477,Punjab,KAPURTHALA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,238000,990000,0.19,1,1,0.46,1,1,183.6
1484,1484,Punjab,KAPURTHALA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,111000,523000,0.19,1,1,0.46,1,1,183.6
1493,1493,Punjab,KAPURTHALA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,111000,493000,0.19,1,1,0.46,1,1,183.6
1502,1502,Punjab,KAPURTHALA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,114000,538000,0.19,1,1,0.46,1,1,183.6
1511,1511,Punjab,KAPURTHALA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,112000,445000,0.19,1,1,0.46,1,1,183.6
1520,1520,Punjab,KAPURTHALA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,112000,496000,0.19,1,1,0.46,1,1,183.6
1527,1527,Punjab,KAPURTHALA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,115000,460000,0.19,1,1,0.46,1,1,183.6
1535,1535,Punjab,KAPURTHALA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,111000,483000,0.19,1,1,0.46,1,1,183.6
1542,1542,Punjab,KAPURTHALA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,109000,444000,0.19,1,1,0.46,1,1,183.6
1547,1547,Punjab,KAPURTHALA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,111000,506000,0.19,1,1,0.46,1,1,183.6
1552,1552,Punjab,KAPURTHALA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,111000,472000,0.19,1,1,0.46,1,1,183.6
1556,1556,Punjab,KAPURTHALA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,111000,457000,0.19,1,1,0.46,1,1,183.6
1562,1562,Punjab,KAPURTHALA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,108000,480000,0.19,1,1,0.46,1,1,183.6
