,S_No,State_Name,District_Name,Season,Irrigation,pH,Moisture,Soil_Temp,Climate,Crop_Name,Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours
1347,1347,Punjab,JALANDHAR,Kharif     ,high,6,60,4,Composite,Rice,133000,495000,0.19,1,1,0.46,1,1,419.7
1358,1358,Punjab,JALANDHAR,Kharif     ,high,6,60,4,Composite,Rice,138000,465000,0.19,1,1,0.46,1,1,419.7
1369,1369,Punjab,JALANDHAR,Kharif     ,high,6,60,4,Composite,Rice,145000,538000,0.19,1,1,0.46,1,1,419.7
1378,1378,Punjab,JALANDHAR,Kharif     ,high,6,60,4,Composite,Rice,151000,526000,0.19,1,1,0.46,1,1,419.7
1389,1389,Punjab,JALANDHAR,Kharif     ,high,6,60,4,Composite,Rice,147000,514000,0.19,1,1,0.46,1,1,419.7
1398,1398,Punjab,JALANDHAR,Kharif     ,high,6,60,4,Composite,Rice,149000,554000,0.19,1,1,0.46,1,1,419.7
1405,1405,Punjab,JALANDHAR,Kharif     ,high,6,60,4,Composite,Rice,155000,588000,0.19,1,1,0.46,1,1,419.7
1414,1414,Punjab,JALANDHAR,Kharif     ,high,6,60,4,Composite,Rice,161000,636000,0.19,1,1,0.46,1,1,419.7
1423,1423,Punjab,JALANDHAR,Kharif     ,high,6,60,4,Composite,Rice,163000,588000,0.19,1,1,0.46,1,1,419.7
1430,1430,Punjab,JALANDHAR,Kharif     ,high,6,60,4,Composite,Rice,165000,583000,0.19,1,1,0.46,1,1,419.7
1438,1438,Punjab,JALANDHAR,Kharif     ,high,6,60,4,Composite,Rice,165000,625000,0.19,1,1,0.46,1,1,419.7
1447,1447,Punjab,JALANDHAR,Kharif     ,high,6,60,4,Composite,Rice,167000,596000,0.19,1,1,0.46,1,1,419.7
1455,1455,Punjab,JALANDHAR,Kharif     ,high,6,60,4,Composite,Rice,167000,616000,0.19,1,1,0.46,1,1,419.7
1464,1464,Punjab,KAPURTHALA,Kharif     ,high,6,60,4,Hot-dry,Rice,97000,290000,0.19,1,1,0.46,1,1,419.7
1472,1472,Punjab,KAPURTHALA,Kharif     ,high,6,60,4,Hot-dry,Rice,99000,314000,0.19,1,1,0.46,1,1,419.7
1481,1481,Punjab,KAPURTHALA,Kharif     ,high,6,60,4,Hot-dry,Rice,100000,319000,0.19,1,1,0.46,1,1,419.7
1488,1488,Punjab,KAPURTHALA,Kharif     ,high,6,60,4,Hot-dry,Rice,103000,358000,0.19,1,1,0.46,1,1,419.7
1497,1497,Punjab,KAPURTHALA,Kharif     ,high,6,60,4,Hot-dry,Rice,103000,357000,0.19,1,1,0.46,1,1,419.7
1506,1506,Punjab,KAPURTHALA,Kharif     ,high,6,60,4,Hot-dry,Rice,102000,362000,0.19,1,1,0.46,1,1,419.7
1516,1516,Punjab,KAPURTHALA,Kharif     ,high,6,60,4,Hot-dry,Rice,104000,361000,0.19,1,1,0.46,1,1,419.7
1524,1524,Punjab,KAPURTHALA,Kharif     ,high,6,60,4,Hot-dry,Rice,105000,423000,0.19,1,1,0.46,1,1,419.7
1531,1531,Punjab,KAPURTHALA,Kharif     ,high,6,60,4,Hot-dry,Rice,108000,422000,0.19,1,1,0.46,1,1,419.7
